Year,Bangladesh,USA,UK,Australia,Canada,China(Main),Malaysia,Sri Lanka,Germany,Russian Fed,France,Japan,Singapore,Thailand,Nepal
1981,192509.0,82052.0,116684.0,20940.0,25358.0,1371.0,26458.0,75842.0,55471.0,NA,57272.0,29032.0,17950.0,NA,11851
1991,251260.0,117332.0,212052.0,22700.0,36142.0,3476.0,30617.0,70088.0,72019.0,32432,69346.0,46655.0,28363.0,NA,21834
2001,431312.0,329147.0,405472.0,52691.0,88600.0,13901.0,57869.0,112813.0,80011.0,15154,102434.0,80634.0,42824.0,18686,41135
2002,435867.0,348182.0,387846.0,50743.0,93598.0,15422.0,63748.0,108008.0,64891.0,18643,78194.0,59709.0,44306.0,19789,37136
2003,454611.0,410803.0,430917.0,58730.0,107671.0,21152.0,70750.0,109098.0,76868.0,26948,97654.0,77996.0,48368.0,26273,42771
2004,477446.0,526120.0,555907.0,81608.0,135884.0,34100.0,84390.0,128711.0,116679.0,47077,131824.0,96851.0,60710.0,33442,51534
2005,456371.0,611165.0,651803.0,96258.0,157643.0,44897.0,96276.0,136400.0,120243.0,56446,152258.0,103082.0,68666.0,42245,77024
2006,484401.0,696739.0,734240.0,109867.0,176567.0,62330.0,107286.0,154813.0,156808.0,62203,175345.0,119292.0,82574.0,46623,91552
2007,480240.0,799062.0,796191.0,135925.0,208214.0,88103.0,112741.0,204084.0,184195.0,75543,204827.0,145538.0,92908.0,57049,83037
2008,541884.0,804933.0,776530.0,146209.0,222364.0,98093.0,115794.0,218805.0,204344.0,91095,207802.0,145352.0,97851.0,58065,78133
2009,468899.0,827140.0,769251.0,149074.0,224069.0,100209.0,135343.0,239995.0,191616.0,94945,196462.0,124756.0,95328.0,67309,88785
2010,431962.0,931292.0,759494.0,169647.0,242372.0,119530.0,179077.0,266515.0,227720.0,122048,225232.0,168019.0,107487.0,76617,104374
2011,463543.0,980688.0,798249.0,192592.0,259017.0,142218.0,208196.0,305853.0,240235.0,144312,231423.0,193525.0,119022.0,92404,119131
2012,487397.0,1039947.0,788170.0,202105.0,256021.0,168952.0,195853.0,296983.0,254783.0,177526,240674.0,220015.0,131452.0,105141,125375
2013,524923.0,1085309.0,809444.0,218967.0,255222.0,174712.0,242649.0,262345.0,252003.0,259120,248379.0,220283.0,143025.0,117136,113790
2014,942562.0,1118983.0,838860.0,239762.0,268485.0,181020.0,262026.0,301601.0,239106.0,269832,246101.0,219516.0,150731.0,121362,126416
2015,1133879.0,1213624.0,867601.0,263101.0,281306.0,206322.0,272941.0,299513.0,248314.0,172419,230854.0,207415.0,152238.0,115860,154720
2016,1380409.0,1296939.0,941883.0,293625.0,317239.0,251313.0,301961.0,297418.0,265928.0,227749,238707.0,208847.0,163688.0,119663,161097
2017,2156557.0,1376919.0,986296.0,324243.0,335439.0,247235.0,322126.0,303590.0,269380.0,278904,249620.0,222527.0,175852.0,140087,164018
2018,2256675.0,1456678.0,1029757.0,346486.0,351040.0,281768.0,319172.0,353684.0,274087.0,262309,261653.0,236236.0,183581.0,166293,174096
2019,2577727.0,1512032.0,1000292.0,367241.0,351859.0,339442.0,334579.0,330861.0,264973.0,251319,247238.0,238903.0,190089.0,169956,164040
CAGR (%) (1981-2019),13.9,15.7,11.3,15.4,14.1,31.7,13.5,7.6,8.1,11.4,7.6,11.1,12.5,13,14
