City Name,Zone Name,Name of heritage,Nature of heritage (open space ; monuments ; street etc.),Heritage use,Age of heritage (in Years)
KALYAN-DOMBIVLI,NA,SHRI RAM MANDIR,TEMPLE,NA,1812
KALYAN-DOMBIVLI,NA,KASHIVISHESWAR MANDIR,TEMPLE,NA,19th Centurey
KALYAN-DOMBIVLI,NA,POKHRAN,KUND,NA,1760-72
KALYAN-DOMBIVLI,NA,TRIVIKRAM MANDIR,TEMPLE,NA,18th Centurey
KALYAN-DOMBIVLI,NA,GANPATI MANDIR,TEMPLE,NA,1770-90
KALYAN-DOMBIVLI,NA,SATHEWADA,RESIDENCE,NA,1874
KALYAN-DOMBIVLI,NA,KASARHAT MANDIR,TEMPLE,NA,1865-67
KALYAN-DOMBIVLI,NA,LAXMINARAYAN MANDIR,TEMPLE,NA,19th Centurey
KALYAN-DOMBIVLI,NA,LAXMI VYANKATESH PRESS,COMMERCIAL ACTIVITY BUILDER,NA,1894
KALYAN-DOMBIVLI,NA,DUTT PAR,DUTT MANDIR,NA,1860
KALYAN-DOMBIVLI,NA,SIDDHESWAR MANDIR,TEMPLE,NA,1750
KALYAN-DOMBIVLI,NA,MURLIDHAR MANDIR,TEMPLE,NA,1887
KALYAN-DOMBIVLI,NA,PAR -PARNAKA,STONE PLATFORM,NA,18th Centurey
KALYAN-DOMBIVLI,NA,DURGADI FORT,TEMPLE ; FORT,NA,17th Centurey
KALYAN-DOMBIVLI,NA,BHATALE TALAO -LAKE,LAKE,NA,17th Centurey
KALYAN-DOMBIVLI,NA,TOWN WALL,OLD TOWN WALL,NA,1630-95
KALYAN-DOMBIVLI,NA,JAMA MASJID,PRAYER HALL,NA,17th Centurey
KALYAN-DOMBIVLI,NA,DOLARE HOUSE,ROW HOUSE,NA,19th Centurey
KALYAN-DOMBIVLI,NA,FANGARI HOUSE,ROW HOUSE,NA,19th Centurey
KALYAN-DOMBIVLI,NA,PARSI AYYARI,STROYED STRUCTURE WITH VERANDAHS,NA,19th Centurey
KALYAN-DOMBIVLI,NA,DHURUWADA,LARGE GROUND ,NA,19th Centurey
KALYAN-DOMBIVLI,NA,TANKI PALACE,IMPRESSIVE STRUCTURE WITH ARCHED ORNATE FACADE.,NA,19th Centurey
KALYAN-DOMBIVLI,NA,FALKEWADA,ORNAMENTAL COLUMNS WITH BRACKETS AND MOTIFS ON THE FRONT FACADE.,NA,19th Centurey
KALYAN-DOMBIVLI,NA,SAWARKAR MANDIR,GARBHAGRIHA ; SABHA MANDAP,NA,19th Centurey
KALYAN-DOMBIVLI,NA,DAVE RICE MILL,RICE MILL WITH A CENTRAL SQUARE COURTYARD,NA,19th Centurey
KALYAN-DOMBIVLI,NA,MAJID SHETH HAVELI,SPECIOUS ENTRANCE VARANDAH,NA,1892
KALYAN-DOMBIVLI,NA,DAVJE TALAO,NATURAL LAKE,NA,17th Centurey
KALYAN-DOMBIVLI,NA,KOTBAHAR MASJID,PRAYER HALL,NA,18-19th Centurey
KALYAN-DOMBIVLI,NA,FORT WALL,RUBBLE MASORY WALL AT DURGADI FORT,NA,18-19th Centurey
KALYAN-DOMBIVLI,NA,THAKURDWAR MANDIR,TEMPLE,NA,19th Centurey
KALYAN-DOMBIVLI,NA,SHENALE -KALA TALAO,NATURAL LAKE,NA,19th Centurey
KALYAN-DOMBIVLI,NA,RAMMANDIR 1,PRAYER HALL,NA,19th Centurey
KALYAN-DOMBIVLI,NA,RAMMANDIR 2,PRAYER HALL,NA,19th Centurey
KALYAN-DOMBIVLI,NA,SHANKAR MANDIR,TEMPLE,NA,1770
KALYAN-DOMBIVLI,NA,SAHJANAND SAMADHI ,PRAYER HALL,NA,19th Centurey
KALYAN-DOMBIVLI,NA,KALI MASJID,PRAYER HALL,NA,1643
KALYAN-DOMBIVLI,NA,MAKBARA,MASJID,NA,1694
KALYAN-DOMBIVLI,NA,RAILWAY QUARTERS,STONE MASONRY,NA,1934-35
KALYAN-DOMBIVLI,NA,CHURCH,PRAYER HALL,NA,1918
KALYAN-DOMBIVLI,NA,DNYANESHWAR PRASAD,SYMMETRICALLY PLANNED WITH COMPOUND,NA,1910-12
KALYAN-DOMBIVLI,NA,DAK BANGLOW,REST HOUSE,NA,1880-90
KALYAN-DOMBIVLI,NA,MAMLEDAR KACHERI,SINGLE STORY STRUCTURE,NA,1850-60
KALYAN-DOMBIVLI,NA,POLICE LINE,SIX RECTANGULAR CHAWLS,NA,1870
KALYAN-DOMBIVLI,NA,COURT,COURTROOM AND VARANDAH,NA,1878-80
KALYAN-DOMBIVLI,NA,POST OFFICE,POST OFFICE,NA,1880
KALYAN-DOMBIVLI,NA,CLOCK TOWER,URBAN LANDMARK,NA,1954-55
KALYAN-DOMBIVLI,NA,NEW VISHNU MANDIR,PRAYER HALL,NA,1894-95
KALYAN-DOMBIVLI,NA,GANZ -WELL,WATER SUPPLY SYSTEM ,NA,1770
KALYAN-DOMBIVLI,NA,RAHATALE,LAKE,NA,­
