City Name,Zone Name,Name of heritage,Nature of heritage,Heritage use,Age of heritage (in Years),source_file,Age of heritage (in Years  ),Latitude,Longitude
Namchi,Namchi,Chardham Solophok,Temple,Monastery,8,Cultural_Namchi.csv,,27.3031019,88.3785961
Namchi,Namchi,Samdruptse,Monastery,Monastery,15,Cultural_Namchi.csv,,27.3031019,88.3785961
Namchi,Namchi,Shirdi Sai Mandir,Temple,Temple,9,Cultural_Namchi.csv,,27.3031019,88.3785961
Namchi,Namchi,Sorok Tamang Monastery,Monastery,Monastery,57,Cultural_Namchi.csv,,27.3031019,88.3785961
Namchi,Namchi,Ahaley Dechen Choling Monastery,Monastery,Monastery,71,Cultural_Namchi.csv,,27.3031019,88.3785961
Namchi,Namchi,Ngadak Gumpa,Monastery,Monastery,420,Cultural_Namchi.csv,,27.3031019,88.3785961
Namchi,Namchi,Rock Garden,Open Space,Recreation,14,Cultural_Namchi.csv,,27.3031019,88.3785961
Shivamogga,,Bheemeshwara Temple,Monument,Worship Place,Above 300,Cultural_Shivamogga.csv,,13.9326093,75.574978
Shivamogga,,Kote Aanjaneya Swami Temple,Monument,Worship Place,Above 300,Cultural_Shivamogga.csv,,13.9326093,75.574978
Shivamogga,,Shivappa Nayak Palace,Monument,Museum,374,Cultural_Shivamogga.csv,,13.9326093,75.574978
Agra,,RED FORT,MONUMENT,"COURTYARD, PALACE",446,Cultural_Agra.csv,,27.1752554,78.0098161
Agra,,TAJ MAHAL,MONUMENT,MAUSOLEUM,366,Cultural_Agra.csv,,27.1752554,78.0098161
Agra,,FATEHPURI SIKRI,MONUMENT,"COURTYARD, PALACE",446,Cultural_Agra.csv,,27.1752554,78.0098161
Agra,,AKBARS TOMB,TOMB,MAUSOLEUM,406,Cultural_Agra.csv,,27.1752554,78.0098161
Agra,,ITIMAD-UD-DAULA,TOMB,MAUSOLEUM,391,Cultural_Agra.csv,,27.1752554,78.0098161
Agra,,MEHTAB GARDEN,OPEN SPACE,GARDEN,367,Cultural_Agra.csv,,27.1752554,78.0098161
Thanjavur,Thanjavur,Bragadeeswarar Temple,Monuments,Worship,More than 1000years,Cultural_Thanjavur.csv,,10.659037,79.2014278
Thanjavur,Thanjavur,Palace,Monuments,Kings heritage residence,More than 1000years,Cultural_Thanjavur.csv,,10.659037,79.2014278
Thanjavur,Thanjavur,Manora,Monuments,Tourist Visit,More than 800years,Cultural_Thanjavur.csv,,10.659037,79.2014278
