Year ,No. of Centrally Protected  Ticketed ASI Monuments,Number of Visitors - Domestic,Number of Visitors - Foreign,Number of Visitors - Total,Annual  Growth Rate - Domestic,Annual  Growth Rate - Foreign,Annual  Growth Rate - Total
1996,68,NA,NA,10956764,NA,NA,NA
1997,68,NA,NA,15767820,NA,NA,43.90
1998,68,NA,NA,13317242,NA,NA,-15.50
1999,68,NA,NA,20502547,NA,NA,54.00
2000,126,NA,NA,19539127,NA,NA,-4.70
2001,126,NA,NA,20364901,NA,NA,4.20
2002,126,17333055,837012,18170067,NA,NA,-10.80
2003,126,19551820,1216615,20768435,12.80,45.40,14.30
2004,116,20356940,1788753,22145693,4.10,47.00,6.60
2005,116,21035864,2122436,23158300,3.30,18.70,4.60
2006,116,23815252,2250502,26065754,13.20,6.00,12.60
2007,116,23450419,2614254,26064673,-1.50,16.20,0.00
2008,117,28786608,2679763,31466371,22.80,2.50,20.70
2009,119,30804103,2195382,32999485,7.00,-18.10,4.90
2010,116,35770242,2998175,38768417,16.10,36.60,17.50
2011,116,40534481,2948065,43482546,13.30,-1.70,12.20
2012,116,43259075,3064778,46323853,6.70,4.00,6.50
2013,116,43019998,2995852,46015850,-0.60,-2.20,-0.70
2014,116,45425859,2792272,48218131,5.60,-6.80,4.80
2015,116,50988730,2620228,53608958,12.20,-6.20,11.20
2016-,116,40167938,2379389,42547327,-21.22,9.19,-20.63
2016-17*,116,45076706,2982601,48059307,NA,NA,NA
2017-2018,116,48394768,3397673,51792441,7.36,13.92,7.70
2018-19,116,47316029,3576837,50892866,-2.20,5.30,-1.79
2019-20,116,43607075,2756561,46363636,-7.80,-22.90,-8.90
2020-21,116,13153076,415859,13568935,-69.80,-84.90,-70.70
