State,Folk dances,Classical dance,Description,Famous Foods,Dance Summary
Andhra Pradesh,"Ghantamardala, Ottam Thedal, Mohiniattam, Kummi, Siddhi, Madhuri, Chhadi, Vilasini Natyam, Bhamakalpam, Veeranatyam, Dappu, Tappeta Gullu, Lambadi, Dhimsa, Kolattam, Butta Bommalu",Kuchipudi,"Known for its rich history, temples, and vibrant coastal culture.","Pulihora, Gongura Pachadi, Andhra Chicken Curry.","Kuchipudi is a classical dance,  folk dances include Kolattam and Veeranatyam."
Arunachal Pradesh,"Chham, Mukhauta Nritya, Buiya, Chalo, Wancho, Pasi Kongki, Ponung, Popir, Bardo, Chong, Khaiva, Lim, Nuralim",,A northeastern state known for tribal heritage and scenic beauty.,"Thukpa, Bamboo Shoot Curry, Apong (rice beer).",Features tribal dances like Ponung and Popir reflecting festivals and rituals.
Assam,"Bihu, Bichhua, Natpuja, Maharas, Kaligopal, Bagurumba, Naga dance, Khel Gopal, Tabal Chongli, Canoe, Jhumura Hobjanai",Sattriya,"Famous for tea plantations, wildlife, and the Brahmaputra River.","Khar, Masor Tenga, Pitha.","Sattriya is a classical dance,  Bihu is the most celebrated folk dance."
Bihar,"Jata-Jatin, Bakho-Bakhain, Panwariya, Sama-Chakwa, Bidesia, Jatra",,Historical center of power and spirituality in ancient India.,"Litti Chokha, Sattu Paratha, Khaja.","Folk dances include Jat-Jatin and Bidesia, depicting social themes."
Chhattisgarh,"Gaur Maria, Panthi, Raut Nacha, Pandwani, Vedamati, Kapalik, Chandaini, Bharthari Charit, Goudi, Karma, Jhumar, Dagla, Pali, Tapali, Navrani, Diwari, Mundari, Jhumar",,Rich in tribal culture and natural resources.,"Chana Samosa, Aamat, Chousela Roti.",Panthi and Raut Nacha are tribal dances performed during festivals.
Goa,"Fugdi, Dhalo, Kunbi, Dhangar, Mandi, Jhagor, Khol, Dakni, Tarangamel, Shigmo, Ghode, Modni, Samayi nrutya, Jagar, Ranmale, Amayi Nrutya, Tonnya Mell",,Popular coastal state known for beaches and Portuguese heritage.,"Prawn Balchao, Goan Fish Curry, Bebinca.",Fugdi and Dhalo are traditional dances reflecting village life.
Gujrat,"Garba, Dandiya Ras, Bhavai, Tippani Juriun, Bhavai",,Land of Mahatma Gandhi and vibrant festivals.,"Dhokla, Thepla, Undhiyu.",Garba and Dandiya Ras are famous for Navratri celebrations.
Haryana,"Jhumar, Phag Dance, Daph, Dhamal, Loor, Gugga, Khor, Gagor",,Known for its agricultural economy and folk traditions.,"Bajra Roti, Hara Dhania Cholia, Kachri ki Sabzi.",Dhamal and Jhumar are prominent folk dances.
Himachal Pradesh,"Kinnauri, Thoda, Jhora, Jhali, Chharhi, Dhaman, Chhapeli, Mahasu, Dangi, Chamba, Thali, Jhainta, Daf",,Mountainous region with rich local traditions.,"Chha Gosht, Dham, Siddu.",Nati and Chamba are joyful group folk dances.
Jharkhand,"Karma, Agni, Jhumar, Janani Jhumar, Mardana Jhumar, Paika, Phagua, Chhanu, Sarahul, Jat-Jatin, Karma, Danga, Bidesia, Sohrai, Hunta Dance, Mundari Dance, Sarhul, Barao, Jhitka, Danga, Domkach, Ghora Naach",Chhau,State with tribal communities and rich mineral resources.,"Thekua, Dhuska, Rugra.",Chhau and Paika showcase valor and tribal stories.
Karnataka,"Yakshagana, Huttari, Suggi, Kunitha, Karga, Lambi",,"Known for its temples, IT hub, and classical arts.","Bisi Bele Bath, Mysore Pak, Neer Dosa.",Yakshagana blends dance and theatre with colorful costumes.
Kerala,"Ottam Thulal, Kaikottikali, Tappatikali, Kali Aattam","Kathakali, Mohiniyattam","God’s Own Country with backwaters, Ayurveda, and literacy.","Appam with Stew, Puttu, Kerala Sadya.",Kathakali and Mohiniyattam depict mythological stories through dance.
Madhya Pradesh,"Tertali, Maanch, Matki, Gaur Maria, Ahirai, Bhadam, Aada, Khada Nach, Phulpati, Grida Dance, Selalarki, Selabhadoni, Jawara",,"Heart of India with temples, forts, and tribal culture.","Poha, Bhutte ka Kees, Dal Bafla.","Matki and Tertali are local dances, especially among tribal women."
Maharashtra,"Lavani, Nakata, Koli, Lezim, Gafa, Dahikala Dasavtar or Bohada, Tamasha, Mauni, Powara, Gouricha",,A vibrant state with Mumbai as its capital.,"Vada Pav, Puran Poli, Misal Pav.",Lavani and Tamasha reflect rhythm and entertainment in folk tradition.
Manipur,"Thang Ta, Lai Haraoba, Pung Cholom, Rakhal, Nat Rash, Maha Rash, Raukhat, Dol Cholam, Khamba Thaibi, Nupa Dance, Raslila, Khubak Ishei, Lhou Sha",Manipuri,Known for its classical dance and martial arts.,"Eromba, Chamthong, Nga Thongba.",Manipuri classical dance expresses devotional and graceful themes.
Meghalaya,"Laho, Baala, Ka Shad Suk Mynsiem, Nongkrem",,Home to living root bridges and matrilineal society.,"Jadoh, Dohneiiong, Tungrymbai.",Shad Suk Mynsiem and Nongkrem are celebratory dances of Khasi people.
Mizoram,"Cheraw Dance, Khuallam, Chailam, Sawlakin, Chawnglaizawn, Zangtalam, Par Lam, Sarlamkai/ Solakia, Tlanglam, Khanatm, Pakhupila, Cherokan",,Hilly state with tribal harmony and traditional customs.,"Bai, Bamboo Shoot Fry, Misa Mach Poora.",Cheraw or bamboo dance is a popular synchronized dance form.
Nagaland,"Bamboo Dance, Temangnetin, Hetaleulee.Rangma, Zeliang, Nsuirolians, Gethinglim",,Rich in tribal heritage and colorful festivals.,"Smoked Pork, Bamboo Steamed Fish, Galho.",Tribal war dances and Bamboo dances dominate celebrations.
Odisha,"Ghumara, Ranappa, Savari, Ghumara, Painka, Munari, Chhau, Chadya Dandanata, Savari, Painka, Munari","Odissi, Chhau",Home to Jagannath Temple and classical Odissi dance.,"Dalma, Chhena Poda, Pakhala Bhata.",Odissi is the classical form
Punjab,"Bhangra, Giddha, Daff, Dhaman, Bhand, Naqual",,Land of five rivers and rich Sikh traditions.,"Sarson da Saag, Makki di Roti, Butter Chicken.",Bhangra and Giddha are energetic and widely performed.
Rajasthan,"Ghoomar, Suisini, kalbeliya, Chakri, Ganagor, Jhulan Leela, Jhuma, Suisini, Ghapal, Panihari, Ginad",,"Desert state with forts, palaces, and folk arts.","Dal Baati Churma, Ghewar, Laal Maas.",Ghoomar and Kalbeliya are graceful and symbolic of Rajasthani culture.
Sikkim,"Chu Faat, Yak Chaam Sikmari, Singhi Chaam or the Snow Lion, Yak Chaam, Denzong Gnenha, Tashi Yangku, Khukuri Naach, Chutkey Naach, Maruni Dance",,Scenic Himalayan state with Buddhist influence.,"Phagshapa, Gundruk, Momos.",Cham and Maruni dances celebrate mythology and nature.
Tamil Nadu,"Karagam, Kummi, Kolattam, Kavadi, Koothu, Paraiattam, Pampaattam, Oyilaattam, Mayilaattam, Puravaiattam, Kai silambattam",Bharatnatyam,"Cultural hub with temples, Carnatic music, and Dravidian legacy.","Idli, Dosa, Pongal, Chettinad Curry.","Bharatnatyam is a classical dance,  Kolattam and Karagam are folk forms."
Telangana,"Perini Shivatandavam, Keisabadi",,A new state with Hyderabadi heritage and Deccan culture.,"Hyderabadi Biryani, Sarva Pindi, Qubani ka Meetha.",Perini Shivatandavam is a classical warrior dance form.
Tripura,Hojagiri,,Northeast state known for its temples and tribal customs.,"Mui Borok, Gudok, Berma.",Hojagiri is performed by women balancing items on their body.
Uttar Pradesh,"Nautanki, Raslila, Kajri, Jhora, Chappeli, Jaita",Kathak,"Land of Lord Ram, Krishna, and the Taj Mahal.","Tunde Kabab, Peda, Kachori-Sabzi.","Kathak is the classical dance,  Raslila depicts Krishna’s stories."
Uttarakhand,"Chappeli, Gadhwali, Kumayuni, Kajari, Jhora, Raslila",,Devbhoomi known for pilgrimage and scenic mountains.,"Aloo Ke Gutke, Chainsoo, Kafuli.",Jhora and Chappeli are community dances of Garhwal and Kumaon.
West Bengal,"Purulia Chhau, Alkap, Kathi, Gambhira, Dhali, Jatra, Baul, Marasia, Mahal, Keertan, Santhali Dance, Mundari dance, Gambhira, Gajan, Chaibari Nritya",Chhau,"Cultural capital with literature, sweets, and colonial history.","Rosogolla, Macher Jhol, Shukto.",Chhau and Baul reflect spiritual and folk traditions.
