country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","20-05-2025 21:00:00",14.675886,77.593027,NO2,NA,NA,NA
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","20-05-2025 21:00:00",13.204880,79.097889,NO2,20,22,21
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","20-05-2025 21:00:00",13.204880,79.097889,OZONE,19,34,25
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","20-05-2025 21:00:00",14.465052,78.824187,PM2.5,44,500,142
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","20-05-2025 21:00:00",16.9872867,81.7363176,PM10,8,50,23
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","20-05-2025 21:00:00",13.67,79.35,NO2,10,19,14
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","20-05-2025 21:00:00",13.67,79.35,OZONE,7,12,9
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","20-05-2025 21:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","20-05-2025 21:00:00",26.181742,91.78063,CO,20,97,30
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","20-05-2025 21:00:00",26.349082,92.68449,SO2,6,15,11
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","20-05-2025 21:00:00",26.349082,92.68449,OZONE,16,37,21
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","20-05-2025 21:00:00",26.446912,91.439057,SO2,1,4,2
India,Assam,Silchar,"Tarapur, Silchar - PCBA","20-05-2025 21:00:00",24.82827,92.79525,NO2,10,13,12
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","20-05-2025 21:00:00",26.987634,94.636574,PM10,17,46,28
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","20-05-2025 21:00:00",25.567520,83.966379,PM10,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","20-05-2025 21:00:00",25.567520,83.966379,SO2,3,13,8
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","20-05-2025 21:00:00",24.7955,84.9994,PM2.5,27,244,84
